Item Name,Stat,Description,Effect
Emberforged Hammer,Brawny Builder +2,A hammer forged in primal flames channeling the power of fire into the wielder's craftsmanship.,Adds fire damage to attacks.
Flameforged Armguards,Brawny Builder +1,Armguards etched with fiery runes shielding the wearer from heat and flame.,Grants resistance to fire damage.
Barkskin Garb,Brawny Builder +2,Armor that toughens the wearer's skin like bark turning away blades and arrows.,Boosts resilience and damage resistance.
Pyromaniac's Suit,Brawny Builder +2,Alchemically treated armor that makes the wearer impervious to fire.,Grants immunity to fire damage.
Cursed Wallpaper Roll,Cunning Remodeler +0,This ornate wallpaper roll confuses enemies with illusions offering a stealth advantage.,Grants advantage on stealth checks when applied creating an illusionary barrier.
Artisan's Easel,Cunning Remodeler +2,Using this magical easel artists find inspiration enhancing their crafting and painting skills.,Grants inspiration for crafting or painting granting advantage on Cunning Remodeler skill checks.
Restoration Blueprint,Cunning Remodeler +1,This ancient blueprint unveils concealed spaces aiding in exploration.,Provides insight into hidden passages or secret rooms granting advantage on Cunning Remodeler skill checks to find them.
Astral Star Lantern,Cunning Remodeler +1,This lantern filled with starlight sharpens investigative skills in dimly lit environments.,Grants advantage on Cunning Remodeler skill checks for investigation or perception in dim light.
Elemental Fountain,Cunning Remodeler +2,This small fountain empowers water ice or fire related magic when within its vicinity.,Enhances magical abilities related to water ice or fire when nearby.
Enchanted Tapestries,Cunning Remodeler +1,These tapestries captivate enemies with ever changing illusions aiding in stealthy endeavors.,Creates illusionary distractions granting advantage on Quick ReDesigner skill checks for stealth.
Arcane Library Bookshelf,Cunning Remodeler +0,The ancient tomes and scrolls on this bookshelf impart temporary expertise in various skills and tools.,Grants temporary proficiency in a specific Cunning Remodeler skill or tool when studied.
Illuminating Skylight,Cunning Remodeler +0,This skylight bathes rooms in natural radiance inspiring heightened perception and insight.,Grants inspiration granting advantage on Cunning Remodeler skill checks for perception or insight.
Sage's Blueprint,Cunning Remodeler +2,This arcane blueprint is infused with knowledge granting an advantage in discerning the secrets of magical objects.,Provides insights into the magical properties you encounter.
Technomancer's Goggles,Cunning Remodeler +1,These enchanted goggles make you adept at handling magical devices and solving enchanted puzzles.,Enhances your ability to interact with magical mechanisms and decipher enchanted puzzles.
Illusionist's Mirror,Cunning Remodeler +1,This mirror enhances your illusions making them more captivating and distracting.,Reflects and amplifies your illusion casting abilities.
Enchanted Dagger,Cunning Remodeler +1,A small yet powerful dagger perfect for quick strikes and stealthy attacks designed with precision and flair.,Allows stealthy strikes and critical hits.
Arcane Wand,Cunning Remodeler +2,A wand channeling magical energy allowing spellcasters to weave their designs from afar and inflict greater damage.,Boosts spell power and damage.
Leafweave Robes,Cunning Remodeler +2,Mystical robes woven from living leaves and vines providing primal protection and resilience while allowing swift movement.,Provides enhanced mobility and evasion.
Zephyr Blades,Cunning Remodeler +2,Razor-sharp blades that harness the cutting power of the wind itself allowing a flurry of swift strikes.,Grants extra attacks per round.
Galeweave Cloak,Cunning Remodeler +1,A cloak that catches gusts of wind allowing the wearer to ride the currents and glide short distances.,Allows short distance magical gliding.
Wind Dancer Bracers,Cunning Remodeler +1,Bracers that grant heightened reflexes and agility by harnessing the swiftness of the wind.,Boosts reflexes and evasion.
Flamethrower Gadget,Cunning Remodeler +1,A device that projects torrents of mystical flame incinerating enemies in a wide arc.,Allows area of effect fire attacks.
